"Chiropractors","{""emoji"":{""char"":""🦴""}}"
"Defense and Space Manufacturing","{""emoji"":{""char"":""🚀""}}"
"Optometrists","{""emoji"":{""char"":""👓""}}"
"Computer Hardware Manufacturing","{""emoji"":{""char"":""🖥️""}}"
"Software Development","{""emoji"":{""char"":""💻""}}"
"Computer Networking Products","{""emoji"":{""char"":""🌐""}}"
"Transportation Equipment Manufacturing","{""emoji"":{""char"":""🚛""}}"
"Technology, Information and Internet","{""emoji"":{""char"":""🌐""}}"
"Physical, Occupational and Speech Therapists","{""emoji"":{""char"":""🧑‍⚕️""}}"
"Semiconductor Manufacturing","{""emoji"":{""char"":""🔌""}}"
"Telecommunications","{""emoji"":{""char"":""📡""}}"
"Law Practice","{""emoji"":{""char"":""⚖️""}}"
"Housing Programs","{""emoji"":{""char"":""🏘️""}}"
"Legal Services","{""emoji"":{""char"":""⚖️""}}"
"Business Consulting and Services","{""emoji"":{""char"":""💼""}}"
"Biotechnology Research","{""emoji"":{""char"":""🧬""}}"
"Family Planning Centers","{""emoji"":{""char"":""👨‍👩‍👧""}}"
"Medical Practices","{""emoji"":{""char"":""🩺""}}"
"Transportation Programs","{""emoji"":{""char"":""🚌""}}"
"Hospitals and Health Care","{""emoji"":{""char"":""🏥""}}"
"Utilities Administration","{""emoji"":{""char"":""⚡""}}"
"Pharmaceutical Manufacturing","{""emoji"":{""char"":""💊""}}"
"Outpatient Care Centers","{""emoji"":{""char"":""🏥""}}"
"Veterinary Services","{""emoji"":{""char"":""🐾""}}"
"Medical Equipment Manufacturing","{""emoji"":{""char"":""🩻""}}"
"Space Research and Technology","{""emoji"":{""char"":""🚀""}}"
"Motor Vehicle Parts Manufacturing","{""emoji"":{""char"":""⚙️""}}"
"Personal Care Product Manufacturing","{""emoji"":{""char"":""🧴""}}"
"Retail Apparel and Fashion","{""emoji"":{""char"":""👗""}}"
"Sporting Goods Manufacturing","{""emoji"":{""char"":""⚽""}}"
"Tobacco Manufacturing","{""emoji"":{""char"":""🚬""}}"
"Medical and Diagnostic Laboratories","{""emoji"":{""char"":""🧪""}}"
"Retail Groceries","{""emoji"":{""char"":""🛒""}}"
"Food and Beverage Manufacturing","{""emoji"":{""char"":""🍽️""}}"
"Oil Extraction","{""emoji"":{""char"":""🛢️""}}"
"Computers and Electronics Manufacturing","{""emoji"":{""char"":""💻""}}"
"Natural Gas Extraction","{""emoji"":{""char"":""⛽""}}"
"Manufacturing","{""emoji"":{""char"":""🏭""}}"
"Furniture and Home Furnishings Manufacturing","{""emoji"":{""char"":""🪑""}}"
"Home Health Care Services","{""emoji"":{""char"":""🏥""}}"
"Retail","{""emoji"":{""char"":""🛍️""}}"
"Embedded Software Products","{""emoji"":{""char"":""💾""}}"
"Entertainment Providers","{""emoji"":{""char"":""🎭""}}"
"Mobile Computing Software Products","{""emoji"":{""char"":""📱""}}"
"Gambling Facilities and Casinos","{""emoji"":{""char"":""🎰""}}"
"Ambulance Services","{""emoji"":{""char"":""🚑""}}"
"Desktop Computing Software Products","{""emoji"":{""char"":""🖥️""}}"
"IT System Custom Software Development","{""emoji"":{""char"":""💻""}}"
"Travel Arrangements","{""emoji"":{""char"":""✈️""}}"
"IT System Operations and Maintenance","{""emoji"":{""char"":""🛠️""}}"
"Hospitality","{""emoji"":{""char"":""🏨""}}"
"IT System Installation and Disposal","{""emoji"":{""char"":""🖥️""}}"
"Restaurants","{""emoji"":{""char"":""🍽️""}}"
"IT System Training and Support","{""emoji"":{""char"":""🎓""}}"
"Hospitals","{""emoji"":{""char"":""🏥""}}"
"Spectator Sports","{""emoji"":{""char"":""🏟️""}}"
"IT System Data Services","{""emoji"":{""char"":""🗄️""}}"
"Food and Beverage Services","{""emoji"":{""char"":""🍽️""}}"
"IT System Testing and Evaluation","{""emoji"":{""char"":""🧪""}}"
"Movies, Videos, and Sound","{""emoji"":{""char"":""🎬""}}"
"Broadcast Media Production and Distribution","{""emoji"":{""char"":""📺""}}"
"Museums, Historical Sites, and Zoos","{""emoji"":{""char"":""🏛️""}}"
"Artists and Writers","{""emoji"":{""char"":""🎨""}}"
"Performing Arts","{""emoji"":{""char"":""🎭""}}"
"Recreational Facilities","{""emoji"":{""char"":""🏟️""}}"
"Banking","{""emoji"":{""char"":""🏦""}}"
"Insurance","{""emoji"":{""char"":""🛡️""}}"
